epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44196,1.61222,3.12766,1.50174,0.01173,0.91164,0.24775,0.12244,1.37679,3.02745,1.2286,0.00025722,0.00025722,0.00025722
2,8.89602,1.5352,2.12374,1.37845,0.01134,0.91967,0.36419,0.19411,1.37148,2.985,1.2654,0.000523496,0.000523496,0.000523496
3,12.3069,1.50964,1.64963,1.42299,0.8505,0.30928,0.45817,0.25878,1.41185,2.30147,1.33043,0.000784395,0.000784395,0.000784395
4,15.5325,1.50423,1.54322,1.4393,0.59015,0.41439,0.50367,0.26079,1.50724,1.94793,1.35401,0.00103992,0.00103992,0.00103992
5,18.9972,1.48734,1.46298,1.39245,0.5855,0.56645,0.58622,0.31536,1.43697,1.53263,1.36788,0.00129007,0.00129007,0.00129007
6,22.1433,1.46002,1.35884,1.37588,0.66938,0.60476,0.67768,0.39201,1.40552,1.46932,1.39477,0.00135826,0.00135826,0.00135826
7,26.1145,1.46234,1.332,1.3694,0.742,0.61831,0.69697,0.41074,1.50103,1.56401,1.40082,0.00134412,0.00134412,0.00134412
8,29.4644,1.42948,1.30142,1.36909,0.74668,0.76173,0.78938,0.46514,1.43904,1.24034,1.40225,0.00132997,0.00132997,0.00132997
9,32.5592,1.40405,1.27772,1.31587,0.69695,0.78303,0.76707,0.43979,1.44284,1.32304,1.37563,0.00131582,0.00131582,0.00131582
10,35.8694,1.39407,1.20428,1.33286,0.73082,0.78942,0.78456,0.48132,1.30946,1.38572,1.40338,0.00130168,0.00130168,0.00130168
11,39.2801,1.3688,1.17619,1.34501,0.65915,0.67768,0.68888,0.42188,1.34396,1.27254,1.36627,0.00128753,0.00128753,0.00128753
12,42.4241,1.37896,1.19807,1.32673,0.81849,0.75339,0.83488,0.52297,1.33084,1.07498,1.3125,0.00127338,0.00127338,0.00127338
13,45.6101,1.33643,1.12296,1.32316,0.81734,0.74081,0.82501,0.53306,1.31469,1.07325,1.29728,0.00125923,0.00125923,0.00125923
14,48.6904,1.37585,1.13963,1.34798,0.75945,0.78939,0.81541,0.50706,1.30267,1.08769,1.34221,0.00124509,0.00124509,0.00124509
15,51.8573,1.35379,1.10543,1.2956,0.77676,0.79819,0.8352,0.52569,1.31479,1.07617,1.33302,0.00123094,0.00123094,0.00123094
16,55.0175,1.29859,1.0752,1.28223,0.75184,0.70053,0.77756,0.49165,1.26658,1.11726,1.28316,0.00121679,0.00121679,0.00121679
17,58.0859,1.29964,1.06389,1.27339,0.83896,0.81532,0.87614,0.56157,1.26945,1.02151,1.29119,0.00120265,0.00120265,0.00120265
18,61.2167,1.28608,1.05432,1.2911,0.79902,0.75044,0.84461,0.54339,1.24595,1.10816,1.27961,0.0011885,0.0011885,0.0011885
19,64.5562,1.29221,1.04275,1.27204,0.81798,0.72744,0.82352,0.52685,1.25927,1.0902,1.28691,0.00117435,0.00117435,0.00117435
20,67.6987,1.2379,1.01927,1.24271,0.76084,0.74778,0.83056,0.55686,1.18713,1.03421,1.24128,0.00116021,0.00116021,0.00116021
21,70.7699,1.2135,0.96962,1.23106,0.70896,0.81387,0.86942,0.58487,1.1702,0.94102,1.21075,0.00114606,0.00114606,0.00114606
22,73.9173,1.24144,1.00285,1.23712,0.76349,0.81513,0.86702,0.56431,1.21211,0.92109,1.23906,0.00113191,0.00113191,0.00113191
23,77.1047,1.24234,0.998,1.24606,0.78139,0.82577,0.8377,0.53362,1.30055,1.00359,1.30109,0.00111776,0.00111776,0.00111776
24,80.3796,1.24722,0.98359,1.24717,0.67581,0.81138,0.79612,0.53638,1.16767,1.03129,1.19255,0.00110362,0.00110362,0.00110362
25,83.4123,1.19012,0.97128,1.21408,0.88508,0.8539,0.92458,0.62981,1.11405,0.79715,1.15158,0.00108947,0.00108947,0.00108947
26,86.574,1.21577,0.94139,1.23278,0.8766,0.84338,0.92125,0.6465,1.07981,0.78193,1.15463,0.00107532,0.00107532,0.00107532
27,89.7251,1.18477,0.9126,1.21685,0.85433,0.78854,0.8652,0.6048,1.1133,0.83778,1.15659,0.00106118,0.00106118,0.00106118
28,92.8051,1.17117,0.92199,1.20139,0.82619,0.89025,0.91088,0.61551,1.13621,0.79571,1.1953,0.00104703,0.00104703,0.00104703
29,95.8882,1.15625,0.86887,1.19025,0.88175,0.85145,0.92146,0.63893,1.07039,0.75067,1.15103,0.00103288,0.00103288,0.00103288
30,99.2007,1.17192,0.87761,1.18013,0.86352,0.84072,0.92117,0.65104,1.05454,0.77531,1.12172,0.00101873,0.00101873,0.00101873
31,102.333,1.20875,0.88991,1.20845,0.89991,0.89421,0.93612,0.65624,1.08007,0.74142,1.12728,0.00100459,0.00100459,0.00100459
32,105.451,1.14431,0.85827,1.17295,0.83836,0.89612,0.92809,0.65723,1.05367,0.79682,1.14546,0.00099044,0.00099044,0.00099044
33,108.555,1.12267,0.86751,1.17381,0.82063,0.859,0.91806,0.65066,1.0473,0.80882,1.14198,0.000976293,0.000976293,0.000976293
34,111.725,1.11996,0.83352,1.17669,0.88561,0.86142,0.94079,0.66976,1.07579,0.75529,1.14235,0.000962146,0.000962146,0.000962146
35,114.846,1.14908,0.86065,1.17408,0.81571,0.85943,0.89387,0.63674,1.01862,0.75442,1.12095,0.000947999,0.000947999,0.000947999
36,117.94,1.09209,0.82684,1.14288,0.90681,0.86635,0.93928,0.68151,0.9855,0.66338,1.0862,0.000933851,0.000933851,0.000933851
37,121.144,1.07429,0.79045,1.13752,0.91816,0.86424,0.94809,0.70015,0.96063,0.65349,1.08457,0.000919704,0.000919704,0.000919704
38,124.295,1.08066,0.82726,1.16018,0.8795,0.84986,0.93209,0.68369,0.96972,0.68537,1.09045,0.000905557,0.000905557,0.000905557
